account_id,customer_id,product_id,branch_id,open_date,status
1,3789,1,19,2020-10-17,DORMANT
2,372,1,2,2025-01-05,DORMANT
3,2808,2,6,2019-12-16,ACTIVE
4,156,5,11,2025-06-28,ACTIVE
5,2662,4,4,2022-02-17,ACTIVE
6,465,1,1,2021-10-01,ACTIVE
7,4879,4,11,2020-02-02,ACTIVE
8,4900,4,16,2020-10-07,ACTIVE
9,4316,3,6,2020-02-17,ACTIVE
10,1774,3,11,2019-02-06,ACTIVE
11,117,1,8,2025-02-12,ACTIVE
12,2104,4,20,2020-02-24,DORMANT
13,1375,3,1,2023-01-23,ACTIVE
14,3204,5,14,2025-02-12,ACTIVE
15,4404,5,2,2022-01-06,ACTIVE
16,3547,5,6,2024-06-06,ACTIVE
17,3978,5,9,2024-05-16,ACTIVE
18,4318,4,14,2022-10-29,ACTIVE
19,1197,5,8,2021-03-20,ACTIVE
20,3412,4,3,2021-08-15,ACTIVE
21,797,1,10,2019-11-16,ACTIVE
22,3893,1,18,2020-05-28,ACTIVE
23,151,5,20,2019-11-30,ACTIVE
24,3250,5,9,2021-12-30,ACTIVE
25,112,5,9,2020-12-24,ACTIVE
26,683,1,19,2019-01-08,ACTIVE
27,1162,3,13,2023-09-16,ACTIVE
28,2380,1,1,2024-06-26,ACTIVE
29,4989,5,17,2019-06-13,ACTIVE
30,161,3,4,2021-02-19,ACTIVE
31,1426,3,4,2022-08-11,ACTIVE
32,3662,2,16,2024-10-29,ACTIVE
33,278,4,16,2022-07-22,DORMANT
34,3392,5,15,2021-07-09,ACTIVE
35,1557,4,6,2023-06-29,DORMANT
36,4593,2,5,2024-01-19,ACTIVE
37,1916,4,10,2023-05-10,ACTIVE
38,4751,5,7,2022-01-07,ACTIVE
39,3108,2,7,2020-11-10,ACTIVE
40,303,4,10,2022-06-05,CLOSED
41,4534,1,10,2020-03-13,ACTIVE
42,2774,3,15,2021-08-03,ACTIVE
43,4282,2,6,2022-07-07,ACTIVE
44,3246,1,2,2019-01-10,ACTIVE
45,4769,5,8,2019-06-07,ACTIVE
46,1001,3,20,2022-03-27,ACTIVE
47,3835,2,15,2025-06-25,ACTIVE
48,4007,3,18,2022-05-10,ACTIVE
49,4779,2,5,2019-05-01,ACTIVE
50,1719,2,4,2024-12-26,ACTIVE
51,3831,4,10,2020-11-04,DORMANT
52,3182,3,19,2024-07-20,ACTIVE
53,2883,3,14,2022-07-07,CLOSED
54,999,1,13,2022-12-27,ACTIVE
55,285,5,10,2019-02-13,ACTIVE
56,421,1,6,2021-03-26,ACTIVE
57,2161,4,13,2022-10-10,ACTIVE
58,3066,2,11,2019-04-08,ACTIVE
59,2276,4,15,2024-03-09,DORMANT
60,1495,4,2,2025-04-05,ACTIVE
61,3885,1,15,2020-04-19,ACTIVE
62,4624,2,19,2022-11-16,ACTIVE
63,2544,5,17,2019-01-09,ACTIVE
64,4127,4,20,2023-03-17,ACTIVE
65,4258,5,18,2022-11-13,ACTIVE
66,1842,2,6,2024-02-06,CLOSED
67,4801,2,15,2022-05-18,ACTIVE
68,722,1,17,2020-09-07,ACTIVE
69,1402,3,9,2025-01-08,DORMANT
70,446,1,12,2019-01-10,ACTIVE
71,2792,5,5,2020-07-05,ACTIVE
72,4523,1,14,2021-05-29,ACTIVE
73,3768,2,8,2019-09-25,ACTIVE
74,2552,4,17,2020-03-26,ACTIVE
75,1968,3,9,2022-10-23,ACTIVE
76,3889,2,3,2021-12-18,ACTIVE
77,4817,4,7,2019-10-21,ACTIVE
78,2732,5,12,2021-08-09,ACTIVE
79,2630,5,3,2021-05-18,ACTIVE
80,1965,5,9,2019-04-20,CLOSED
81,1058,1,14,2023-04-15,ACTIVE
82,4832,5,18,2024-11-24,ACTIVE
83,758,5,11,2021-10-09,ACTIVE
84,1796,1,4,2025-06-02,ACTIVE
85,1644,4,8,2024-01-29,ACTIVE
86,4850,2,18,2024-06-11,ACTIVE
87,24,3,13,2021-04-24,ACTIVE
88,1240,5,4,2023-09-04,ACTIVE
89,4151,5,10,2024-10-27,CLOSED
90,3098,5,8,2024-06-30,ACTIVE
91,1305,1,12,2022-06-27,ACTIVE
92,2543,1,19,2019-12-05,ACTIVE
93,3713,1,12,2024-10-05,ACTIVE
94,3956,3,2,2019-05-27,ACTIVE
95,4530,2,8,2021-01-15,ACTIVE
96,4304,5,13,2021-11-06,ACTIVE
97,4229,4,1,2022-04-27,ACTIVE
98,1306,5,3,2025-04-14,DORMANT
99,4465,5,2,2025-01-06,CLOSED
100,3175,5,20,2020-12-14,DORMANT
101,3629,5,8,2025-03-14,ACTIVE
102,782,2,3,2023-05-30,ACTIVE
103,567,4,15,2022-11-19,ACTIVE
104,4623,1,2,2023-11-22,ACTIVE
105,4133,4,17,2019-10-31,ACTIVE
106,4274,5,6,2023-05-01,ACTIVE
107,639,4,1,2024-02-21,ACTIVE
108,3701,5,4,2020-01-15,ACTIVE
109,4168,4,19,2020-11-24,ACTIVE
110,2400,3,7,2023-06-07,ACTIVE
111,2671,4,14,2025-01-01,DORMANT
112,1173,1,14,2019-02-19,CLOSED
113,1721,1,10,2022-12-18,ACTIVE
114,105,4,7,2023-10-22,DORMANT
115,1683,4,16,2024-02-23,ACTIVE
116,4317,2,4,2021-04-27,ACTIVE
117,1850,4,7,2022-04-10,DORMANT
118,863,1,15,2023-02-21,ACTIVE
119,3446,3,17,2022-10-14,DORMANT
120,2566,1,3,2025-02-14,ACTIVE
121,299,2,16,2023-04-02,ACTIVE
122,2909,4,2,2019-08-15,ACTIVE
123,4138,3,7,2023-12-13,ACTIVE
124,771,1,16,2019-08-01,ACTIVE
125,2540,3,9,2020-02-23,ACTIVE
126,1463,5,12,2024-02-19,ACTIVE
127,3855,1,1,2021-07-07,ACTIVE
128,3119,5,14,2021-02-15,ACTIVE
129,2133,3,11,2023-04-03,ACTIVE
130,1710,4,18,2025-03-18,ACTIVE
131,991,4,5,2019-06-25,ACTIVE
132,711,4,15,2022-09-07,ACTIVE
133,4305,5,7,2020-06-18,ACTIVE
134,39,4,14,2022-11-18,ACTIVE
135,1276,2,20,2024-01-04,DORMANT
136,4858,1,8,2023-07-22,ACTIVE
137,1437,1,4,2019-11-20,ACTIVE
138,2994,3,3,2019-03-26,ACTIVE
139,1470,5,12,2021-06-05,ACTIVE
140,2100,1,18,2019-04-22,ACTIVE
141,374,5,15,2021-08-06,ACTIVE
142,4252,3,11,2022-11-22,ACTIVE
143,4026,4,11,2019-02-21,ACTIVE
144,1114,3,12,2024-11-01,ACTIVE
145,2727,2,19,2021-01-10,ACTIVE
146,2399,4,17,2020-02-29,ACTIVE
147,3235,4,6,2021-11-10,ACTIVE
148,1266,4,8,2023-09-08,ACTIVE
149,3124,3,15,2019-02-25,DORMANT
150,654,2,20,2021-03-17,ACTIVE
151,4159,5,10,2020-10-16,CLOSED
152,509,3,15,2021-10-03,ACTIVE
153,2340,1,12,2021-06-26,ACTIVE
154,3163,1,11,2019-01-08,ACTIVE
155,1688,3,18,2024-12-11,ACTIVE
156,1389,5,5,2023-11-17,ACTIVE
157,2198,1,12,2022-01-29,ACTIVE
158,3912,5,5,2021-09-16,ACTIVE
159,2929,4,10,2022-01-08,ACTIVE
160,4800,3,14,2024-09-09,DORMANT
161,516,4,16,2020-01-13,ACTIVE
162,3659,1,5,2024-05-03,ACTIVE
163,1834,5,11,2022-08-15,ACTIVE
164,30,4,19,2019-10-09,ACTIVE
165,3215,1,8,2021-11-01,DORMANT
166,326,2,19,2020-09-30,ACTIVE
167,3767,4,20,2019-03-10,ACTIVE
168,4112,2,18,2024-01-13,ACTIVE
169,111,2,12,2024-09-01,ACTIVE
170,107,1,13,2019-12-03,DORMANT
171,2427,3,18,2025-03-06,ACTIVE
172,4379,5,15,2019-08-03,ACTIVE
173,4365,1,15,2020-09-26,ACTIVE
174,2532,4,12,2020-02-27,ACTIVE
