branch_id,branch_name,city,region
1,Branch 01,North Judithbury,East
2,Branch 02,East Jill,West
3,Branch 03,New Roberttown,North
4,Branch 04,East Jessetown,East
5,Branch 05,Lake Debra,East
6,Branch 06,Robinsonshire,West
7,Branch 07,Lisatown,North
8,Branch 08,Lake Roberto,North
9,Branch 09,Ericmouth,East
10,Branch 10,North Noahstad,South
11,Branch 11,Cassandraton,East
12,Branch 12,Herrerafurt,East
13,Branch 13,New Kellystad,East
14,Branch 14,Lake Chad,East
15,Branch 15,Port Keith,West
16,Branch 16,Port Jesseville,North
17,Branch 17,Ramirezstad,West
18,Branch 18,West Michael,West
19,Branch 19,Jacquelineland,West
20,Branch 20,New Jessica,East
