txn_id,account_id,txn_date,txn_type,amount
1,606,2023-05-17,FEE,272.59
2,7233,2024-02-16,DEPOSIT,1008.4
3,366,2024-03-23,FEE,977.42
4,1229,2023-06-13,WITHDRAWAL,191.19
5,899,2023-09-16,FEE,735.96
6,4283,2023-10-19,INTEREST,363.32
7,2772,2023-03-10,WITHDRAWAL,214.65
8,3065,2023-01-26,WITHDRAWAL,68.88
9,2751,2025-02-20,INTEREST,994.82
10,5381,2024-08-23,INTEREST,302.7
11,6978,2025-01-20,DEPOSIT,76.67
12,90,2024-08-01,INTEREST,436.74
13,6901,2024-10-20,INTEREST,376.92
14,989,2023-04-23,INTEREST,1181.76
15,7058,2023-05-08,FEE,342.64
16,2441,2023-08-26,INTEREST,1229.4
17,5270,2023-03-25,WITHDRAWAL,69.27
18,6556,2023-11-27,DEPOSIT,329.95
19,5564,2024-01-02,TRANSFER,223.01
20,3212,2024-08-10,DEPOSIT,464.23
21,293,2024-11-06,INTEREST,1579.57
22,1490,2024-05-06,INTEREST,369.72
23,4727,2023-07-20,WITHDRAWAL,813.65
24,7415,2025-06-04,WITHDRAWAL,272.14
25,3170,2023-10-29,DEPOSIT,5.5
26,4266,2023-09-03,FEE,15.62
27,5430,2024-05-24,DEPOSIT,195.6
28,1450,2024-04-21,TRANSFER,584.77
29,4986,2023-01-10,INTEREST,102.58
30,1091,2024-12-07,TRANSFER,322.72
31,6200,2024-07-29,FEE,162.15
32,3630,2025-04-29,WITHDRAWAL,301.97
33,7685,2023-03-06,INTEREST,216.77
34,2616,2024-06-27,INTEREST,572.89
35,151,2024-02-02,DEPOSIT,746.01
36,6462,2024-05-30,FEE,357.99
37,7309,2024-09-22,INTEREST,355.01
38,5435,2024-09-22,WITHDRAWAL,371.12
39,984,2024-09-23,TRANSFER,325.88
40,1820,2023-11-20,DEPOSIT,775.02
41,977,2023-02-25,INTEREST,922.81
42,6150,2023-09-04,DEPOSIT,892.91
43,189,2023-09-14,FEE,308.73
44,6461,2025-01-08,FEE,677.73
45,2779,2023-07-26,FEE,466.78
46,3757,2023-04-09,DEPOSIT,304.9
47,5725,2023-05-12,DEPOSIT,1234.6
48,2572,2023-01-15,FEE,132.12
49,1187,2024-04-15,DEPOSIT,276.57
50,3902,2024-08-31,FEE,844.91
51,3440,2025-06-13,TRANSFER,477.33
52,2565,2023-11-07,TRANSFER,402.46
53,7234,2023-02-09,INTEREST,629.53
54,4811,2023-07-04,INTEREST,348.29
55,1348,2024-05-02,INTEREST,225.57
56,5313,2025-05-29,FEE,289.71
57,5485,2024-06-02,WITHDRAWAL,384.98
58,7538,2024-03-27,INTEREST,586.76
59,3408,2023-09-13,DEPOSIT,344.27
60,2626,2023-03-10,WITHDRAWAL,662.27
61,3753,2024-05-25,WITHDRAWAL,403.59
62,667,2025-06-24,INTEREST,43.79
63,4684,2023-11-03,INTEREST,605.16
64,773,2024-08-10,WITHDRAWAL,194.12
65,3205,2023-12-19,DEPOSIT,1173.27
66,4950,2023-10-17,WITHDRAWAL,271.84
67,1165,2024-04-26,TRANSFER,214.14
68,6480,2023-02-25,WITHDRAWAL,546.44
69,4954,2023-04-28,TRANSFER,62.7
70,4595,2023-07-02,DEPOSIT,456.77
71,649,2024-06-20,TRANSFER,34.87
72,2224,2023-05-27,INTEREST,240.47
73,4896,2025-06-18,INTEREST,370.63
74,4947,2025-05-05,WITHDRAWAL,249.24
75,1060,2023-10-15,WITHDRAWAL,196.28
76,988,2024-02-20,WITHDRAWAL,668.1
77,2191,2023-12-26,TRANSFER,711.68
78,4745,2024-12-20,DEPOSIT,433.47
79,4624,2023-10-05,DEPOSIT,586.45
80,1786,2023-12-01,WITHDRAWAL,1399.51
81,1528,2023-12-06,WITHDRAWAL,193.42
82,6150,2023-07-05,DEPOSIT,712.93
83,4680,2023-08-31,INTEREST,282.23
84,6817,2024-12-20,WITHDRAWAL,645.78
85,4320,2023-04-28,INTEREST,184.84
86,1902,2024-01-15,TRANSFER,1249.26
87,2404,2023-10-30,TRANSFER,206.08
88,2986,2024-11-25,WITHDRAWAL,610.99
89,1851,2025-04-28,TRANSFER,446.62
90,1008,2023-04-10,WITHDRAWAL,200.56
91,5156,2023-12-15,WITHDRAWAL,1115.2
92,546,2024-06-12,TRANSFER,215.95
93,6018,2023-02-11,WITHDRAWAL,75.55
94,525,2023-08-10,INTEREST,167.52
95,4011,2024-04-22,INTEREST,1158.48
96,1738,2025-01-27,FEE,218.47
97,1081,2023-06-19,FEE,243.45
98,2022,2024-07-05,TRANSFER,882.64
99,7175,2025-03-06,DEPOSIT,547.15
100,5563,2024-05-04,WITHDRAWAL,924.48
101,1339,2024-12-14,INTEREST,60.79
102,2159,2024-02-15,FEE,838.14
103,3188,2024-05-26,DEPOSIT,924.1
104,1331,2023-01-02,TRANSFER,348.96
105,771,2023-07-02,TRANSFER,306.42
106,5787,2024-05-30,FEE,736.73
107,1742,2024-09-03,DEPOSIT,276.33
108,4406,2023-06-19,TRANSFER,1161.89
109,4190,2024-04-24,DEPOSIT,1232.99
110,7360,2024-02-26,DEPOSIT,514.71
111,6946,2023-07-13,WITHDRAWAL,130.1
112,7447,2023-11-30,DEPOSIT,112.62
113,6704,2023-04-19,WITHDRAWAL,952.99
114,5175,2023-02-07,INTEREST,1135.2
115,4113,2023-06-20,FEE,284.19
116,1359,2025-03-29,INTEREST,314.86
117,3134,2024-08-25,DEPOSIT,621.08
118,6781,2023-01-14,DEPOSIT,545.66
119,2797,2024-11-19,TRANSFER,409.64
120,1597,2023-09-14,TRANSFER,1407.1
121,1981,2023-01-23,INTEREST,166.09
122,556,2023-10-21,FEE,143.68
123,5447,2023-01-14,TRANSFER,180.87
124,3965,2023-04-20,FEE,269.55
125,5248,2024-10-10,INTEREST,359.07
126,3572,2023-10-05,FEE,376.52
127,3060,2023-06-19,WITHDRAWAL,103.85
128,4355,2024-07-19,WITHDRAWAL,108.82
129,2761,2024-10-15,TRANSFER,325.99
130,835,2023-09-26,DEPOSIT,482.45
131,1648,2023-04-09,FEE,294.89
132,3060,2023-06-28,TRANSFER,592.72
133,867,2024-04-09,FEE,247.47
134,904,2024-08-24,WITHDRAWAL,230.02
135,2458,2025-06-08,FEE,841.02
136,4984,2023-01-18,FEE,1505.03
137,143,2023-04-02,INTEREST,590.9
138,6021,2023-03-22,TRANSFER,273.62
139,6541,2023-02-18,FEE,164.8
140,7887,2025-06-17,DEPOSIT,164.94
141,5479,2024-04-14,FEE,182.35
142,3724,2024-05-11,WITHDRAWAL,544.85
143,2787,2024-10-17,TRANSFER,179.6
144,3391,2023-10-11,TRANSFER,450.22
145,2696,2024-04-05,FEE,423.55
146,7114,2024-05-11,TRANSFER,336.79
147,6946,2023-07-15,DEPOSIT,924.81
148,2760,2024-09-19,INTEREST,886.91
149,3350,2025-05-25,FEE,158.27
