year,month_name,segment,product_type,region,txn_count,gross_amount,net_flow
2023,Apr,Business,Deposit,East,121,63387.01,9807.15
2023,Apr,Business,Deposit,North,58,32731.28,7769.08
2023,Apr,Business,Deposit,South,8,5245.58,1027.72
2023,Apr,Business,Deposit,West,63,33128.79,12755.59
2023,Apr,Business,Lending,East,157,71873.39,15078.75
2023,Apr,Business,Lending,North,57,25791.05,13269.35
2023,Apr,Business,Lending,South,11,4321.22,-904.62
2023,Apr,Business,Lending,West,108,50767.99,-1204.53
2023,Apr,Premier,Deposit,East,260,121175.76,18606.28
2023,Apr,Premier,Deposit,North,79,40166.33,12035.41
2023,Apr,Premier,Deposit,South,27,10828.89,1473.51
2023,Apr,Premier,Deposit,West,127,64872.79,19117.67
2023,Apr,Premier,Lending,East,387,195660.06,37316.12
2023,Apr,Premier,Lending,North,176,94773.81,19580.39
2023,Apr,Premier,Lending,South,48,25347.53,5009.73
2023,Apr,Premier,Lending,West,269,137600.72,17071.20
2023,Apr,Retail,Deposit,East,838,411848.36,94760.24
2023,Apr,Retail,Deposit,North,370,183518.53,34839.79
2023,Apr,Retail,Deposit,South,97,49040.81,8308.73
2023,Apr,Retail,Deposit,West,549,275616.63,57002.39
2023,Apr,Retail,Lending,East,1220,608288.81,156595.43
2023,Apr,Retail,Lending,North,599,308854.91,29600.27
2023,Apr,Retail,Lending,South,158,81399.88,19949.84
2023,Apr,Retail,Lending,West,797,388472.72,53230.56
2023,Aug,Business,Deposit,East,120,63100.11,-810.47
2023,Aug,Business,Deposit,North,61,34002.16,15255.56
2023,Aug,Business,Deposit,South,8,3517.25,-246.95
2023,Aug,Business,Deposit,West,73,38008.40,5862.76
2023,Aug,Business,Lending,East,205,93906.50,21245.64
2023,Aug,Business,Lending,North,80,44634.86,2488.48
2023,Aug,Business,Lending,South,16,6814.54,1489.48
2023,Aug,Business,Lending,West,122,61029.79,8197.95
2023,Aug,Premier,Deposit,East,266,126710.21,36381.61
2023,Aug,Premier,Deposit,North,93,45751.15,8588.53
2023,Aug,Premier,Deposit,South,34,14890.81,6947.05
2023,Aug,Premier,Deposit,West,116,62148.76,9622.44
2023,Aug,Premier,Lending,East,420,206626.96,55831.86
2023,Aug,Premier,Lending,North,179,88850.27,16960.03
2023,Aug,Premier,Lending,South,35,18023.16,6123.74
2023,Aug,Premier,Lending,West,280,150555.40,12290.04
2023,Aug,Retail,Deposit,East,850,415286.38,98119.70
2023,Aug,Retail,Deposit,North,362,178986.41,39889.41
2023,Aug,Retail,Deposit,South,96,50759.35,15641.91
2023,Aug,Retail,Deposit,West,566,291806.84,86071.90
2023,Aug,Retail,Lending,East,1293,640655.10,128013.48
2023,Aug,Retail,Lending,North,639,324310.17,51961.77
2023,Aug,Retail,Lending,South,176,86971.13,23974.15
2023,Aug,Retail,Lending,West,828,404693.64,50099.92
2023,Dec,Business,Deposit,East,109,55634.58,9700.14
2023,Dec,Business,Deposit,North,58,28715.03,14597.17
